Episode,Total_Reward,Mean_Reward,Episode_Length,Duration_Sec
321,-188.24452006209503,-31.37408667701584,500,2.9205353260040283
322,-183.75856785023188,-30.62642797503865,500,2.944237232208252
323,-156.1942324964267,-26.032372082737783,500,2.9251949787139893
324,-167.13286303476343,-27.85547717246057,500,5.812450647354126
325,-161.33100735504058,-26.8885012258401,500,3.0498132705688477
326,-205.87646522187788,-34.31274420364631,500,2.853590726852417
327,-174.89868742626277,-29.14978123771046,500,2.794126033782959
328,-137.74650982258072,-22.957751637096788,500,5.958171606063843
329,-187.268884971455,-31.211480828575834,500,3.119373083114624
330,-165.3690626089201,-27.56151043482002,500,3.125119686126709
331,-167.60677838293122,-27.93446306382187,500,2.8840746879577637
332,-148.51849107676276,-24.753081846127127,500,6.0184361934661865
333,-189.9324506562574,-31.655408442709568,500,2.908604383468628
334,-165.6833448072398,-27.613890801206633,500,2.821282148361206
335,-198.97917868421519,-33.163196447369195,500,2.8019392490386963
336,-207.74659712955372,-34.62443285492562,500,5.687497138977051
337,-151.5688521759248,-25.261475362654135,500,2.880816698074341
338,8.482244573937805,1.4137074289896343,500,2.841862201690674
339,-182.47624558431767,-30.412707597386277,500,2.8465778827667236
340,-166.4527024521676,-27.742117075361268,500,5.721712350845337
341,-154.32576312005585,-25.72096052000931,500,3.16526198387146
342,-160.55711550618526,-26.759519251030877,500,3.007420778274536
343,-154.76171515093552,-25.793619191822586,500,2.941042900085449
344,-193.82049287983318,-32.303415479972195,500,3.271885395050049
345,-191.5402587256844,-31.92337645428073,500,6.189066648483276
346,-195.269135400883,-32.54485590014716,500,2.844261646270752
347,-151.99630058354762,-25.332716763924605,500,2.815040349960327
348,-148.69636597221165,-24.782727662035274,500,2.8495421409606934
349,-145.32125279335776,-24.22020879889296,500,5.675315618515015
350,-145.0764540011878,-24.179409000197968,500,2.841762065887451
351,-167.3488745808827,-27.891479096813782,500,2.8220667839050293
352,-194.43977164924456,-32.40662860820743,500,2.8365559577941895
353,-167.98448255103858,-27.99741375850643,500,5.706538438796997
354,-153.5444588006054,-25.590743133434234,500,2.826033115386963
355,-201.27107476931724,-33.54517912821954,500,2.810387372970581
356,-176.643977096234,-29.440662849372334,500,2.8399767875671387
357,-187.01599472044018,-31.169332453406696,500,5.671081304550171
358,-170.35724200104178,-28.3928736668403,500,2.8078510761260986
359,-199.42923740103743,-33.23820623350624,500,2.7988319396972656
360,-179.50453320693669,-29.917422201156114,500,2.8490560054779053
361,-189.39837953754068,-31.566396589590113,500,5.64202880859375
362,-208.09031866917917,-34.68171977819653,500,2.7705674171447754
363,-178.9388599912736,-29.823143331878935,500,2.8319098949432373
364,-192.61642936624344,-32.10273822770724,500,2.779463529586792
365,-212.56742909903556,-35.42790484983926,500,5.6072118282318115
366,-182.6278056095257,-30.437967601587616,500,2.79573130607605
367,-176.60568517423417,-29.43428086237236,500,2.8049046993255615
368,-155.47130824029227,-25.91188470671538,500,2.7786662578582764
369,-150.53302307804506,-25.088837179674176,500,5.661203145980835
370,-179.84937623731219,-29.974896039552032,500,3.1267733573913574
371,-192.5583573394415,-32.093059556573586,500,3.105001449584961
372,-174.89408695407178,-29.149014492345298,500,3.3112661838531494
373,-177.45548627486232,-29.575914379143722,500,6.6163811683654785
374,-191.25031643591956,-31.875052739319926,500,3.0562596321105957
375,-186.9447688218388,-31.15746147030647,500,3.3610332012176514
376,-191.67965751956126,-31.946609586593542,500,2.808372974395752
377,-199.47667368669397,-33.246112281115664,500,5.751274824142456
378,-215.10665516154836,-35.85110919359139,500,2.7997403144836426
379,-199.76810458441514,-33.29468409740252,500,2.780913829803467
380,-166.5625575194488,-27.760426253241466,500,2.827242851257324
381,-173.56604731492916,-28.927674552488195,500,5.664665937423706
382,-199.816412450464,-33.30273540841066,500,2.812413454055786
383,-184.12700806366922,-30.687834677278204,500,2.7973954677581787
384,-159.1692562415295,-26.52820937358825,500,2.795262098312378
385,-196.26132348336455,-32.71022058056076,500,2.8028926849365234
386,-183.2720163951193,-30.545336065853217,500,5.694153785705566
387,-220.74403273393818,-36.79067212232303,500,2.771984338760376
388,-195.10948033957322,-32.5182467232622,500,2.7761170864105225
